NOMBRE-PROCESO;TIPO;COMPORTAMIENTO;T_DE_LLEGADA
calc_premio-1;D;10,5,10,5;0
calc_premio-2;D;10,5,10,5;0
calc_premio-3;D;10,5,10,5;0
calc_premio-4;D;10,5,10,5;0
calc_premio-5;D;10,5,10,5;0
calc_premio-6;D;10,5,10,5;0
calc_premio-7;D;10,5,10,5;0
calc_premio-8;D;10,5,10,5;0
calc_premio-9;D;10,5,10,5;0
calc_premio-10;D;10,5,10,5;0
calc_premio-11;D;10,5,10,5;0
calc_premio-12;D;10,5,10,5;0
calc_premio-13;D;10,5,10,5;0
calc_premio-14;D;10,5,10,5;0
calc_premio-15;D;10,5,10,5;0
calc_premio-16;D;10,5,10,5;0
calc_premio-17;D;10,5,10,5;0
calc_premio-18;D;10,5,10,5;0
calc_premio-19;D;10,5,10,5;0
calc_premio-20;D;10,5,10,5;0
calc_premio-21;D;10,5,10,5;0
calc_premio-22;D;10,5,10,5;0
calc_premio-23;D;10,5,10,5;0
calc_premio-24;D;10,5,10,5;0
calc_premio-25;D;10,5,10,5;0
calc_premio-26;D;10,5,10,5;0
calc_premio-27;D;10,5,10,5;0
calc_premio-28;D;10,5,10,5;0
calc_premio-29;D;10,5,10,5;0
calc_premio-30;D;10,5,10,5;0
calc_premio-31;D;10,5,10,5;0
calc_premio-32;D;10,5,10,5;0
calc_premio-33;D;10,5,10,5;0
calc_premio-34;D;10,5,10,5;0
calc_premio-35;D;10,5,10,5;0
calc_premio-36;D;10,5,10,5;0
calc_premio-37;D;10,5,10,5;0
calc_premio-38;D;10,5,10,5;0
calc_premio-39;D;10,5,10,5;0
calc_premio-40;D;10,5,10,5;0
calc_premio-41;D;10,5,10,5;0
calc_premio-42;D;10,5,10,5;0
calc_premio-43;D;10,5,10,5;0
calc_premio-44;D;10,5,10,5;0
calc_premio-45;D;10,5,10,5;0
calc_premio-46;D;10,5,10,5;0
calc_premio-47;D;10,5,10,5;0
calc_premio-48;D;10,5,10,5;0
calc_premio-49;D;10,5,10,5;0
calc_premio-50;D;10,5,10,5;0
calc_premio-51;D;10,5,10,5;0
calc_premio-52;D;10,5,10,5;0
calc_premio-53;D;10,5,10,5;0
calc_premio-54;D;10,5,10,5;0
