NOMBRE-PROCESO;TIPO;COMPORTAMIENTO;T_DE_LLEGADA
consultar_validez_mensaje-1;D;2,2;0
consultar_validez_mensaje-2;D;2,2;0
consultar_validez_mensaje-3;D;2,2;0
consultar_validez_mensaje-4;D;2,2;0
consultar_validez_mensaje-5;D;2,2;0
consultar_validez_mensaje-6;D;2,2;0
consultar_validez_mensaje-7;D;2,2;0
consultar_validez_mensaje-8;D;2,2;0
consultar_validez_mensaje-9;D;2,2;0
firmar_mensaje-100;B;6,1,2;1
firmar_mensaje-101;B;6,1,2;1
firmar_mensaje-102;B;6,1,2;1
firmar_mensaje-103;B;6,1,2;1
firmar_mensaje-104;B;6,1,2;1
firmar_mensaje-105;B;6,1,2;1
firmar_mensaje-106;B;6,1,2;1
firmar_mensaje-107;B;6,1,2;1
firmar_mensaje-108;B;6,1,2;1
firmar_mensaje-109;B;6,1,2;1
firmar_mensaje-110;B;6,1,2;1
firmar_mensaje-111;B;6,1,2;1
firmar_mensaje-112;B;6,1,2;1
firmar_mensaje-113;B;6,1,2;1
firmar_mensaje-114;B;6,1,2;1
firmar_mensaje-115;B;6,1,2;1
firmar_mensaje-116;B;6,1,2;1
firmar_mensaje-117;B;6,1,2;1
firmar_mensaje-118;B;6,1,2;1
firmar_mensaje-119;B;6,1,2;1
firmar_mensaje-120;B;6,1,2;1
firmar_mensaje-121;B;6,1,2;1
firmar_mensaje-122;B;6,1,2;1
firmar_mensaje-123;B;6,1,2;1
firmar_mensaje-124;B;6,1,2;1
firmar_mensaje-125;B;6,1,2;1
firmar_mensaje-126;B;6,1,2;1
firmar_mensaje-127;B;6,1,2;1
firmar_mensaje-128;B;6,1,2;1
firmar_mensaje-129;B;6,1,2;1
firmar_mensaje-130;B;6,1,2;1
firmar_mensaje-131;B;6,1,2;1
firmar_mensaje-132;B;6,1,2;1
firmar_mensaje-133;B;6,1,2;1
firmar_mensaje-134;B;6,1,2;1
firmar_mensaje-135;B;6,1,2;1
firmar_mensaje-136;B;6,1,2;1
firmar_mensaje-137;B;6,1,2;1
firmar_mensaje-138;B;6,1,2;1
firmar_mensaje-139;B;6,1,2;1
firmar_mensaje-140;B;6,1,2;1
firmar_mensaje-141;B;6,1,2;1
firmar_mensaje-142;B;6,1,2;1
firmar_mensaje-143;B;6,1,2;1
firmar_mensaje-144;B;6,1,2;1
firmar_mensaje-145;B;6,1,2;1
firmar_mensaje-146;B;6,1,2;1
firmar_mensaje-147;B;6,1,2;1
firmar_mensaje-148;B;6,1,2;1
firmar_mensaje-149;B;6,1,2;1
firmar_mensaje-150;B;6,1,2;1
firmar_mensaje-151;B;6,1,2;1
firmar_mensaje-152;B;6,1,2;1
firmar_mensaje-153;B;6,1,2;1
firmar_mensaje-154;B;6,1,2;1
firmar_mensaje-155;B;6,1,2;1
firmar_mensaje-156;B;6,1,2;1
firmar_mensaje-157;B;6,1,2;1
firmar_mensaje-158;B;6,1,2;1
firmar_mensaje-159;B;6,1,2;1
firmar_mensaje-160;B;6,1,2;1
firmar_mensaje-161;B;6,1,2;1
firmar_mensaje-162;B;6,1,2;1
firmar_mensaje-163;B;6,1,2;1
firmar_mensaje-164;B;6,1,2;1
firmar_mensaje-165;B;6,1,2;1
firmar_mensaje-166;B;6,1,2;1
firmar_mensaje-167;B;6,1,2;1
firmar_mensaje-168;B;6,1,2;1
firmar_mensaje-169;B;6,1,2;1
firmar_mensaje-170;B;6,1,2;1
firmar_mensaje-171;B;6,1,2;1
firmar_mensaje-172;B;6,1,2;1
firmar_mensaje-173;B;6,1,2;1
firmar_mensaje-174;B;6,1,2;1
firmar_mensaje-175;B;6,1,2;1
firmar_mensaje-176;B;6,1,2;1
firmar_mensaje-177;B;6,1,2;1
firmar_mensaje-178;B;6,1,2;1
firmar_mensaje-179;B;6,1,2;1
firmar_mensaje-180;B;6,1,2;1
firmar_mensaje-181;B;6,1,2;1
firmar_mensaje-182;B;6,1,2;1
firmar_mensaje-183;B;6,1,2;1
firmar_mensaje-184;B;6,1,2;1
firmar_mensaje-185;B;6,1,2;1
firmar_mensaje-186;B;6,1,2;1
firmar_mensaje-187;B;6,1,2;1
firmar_mensaje-188;B;6,1,2;1
firmar_mensaje-189;B;6,1,2;1
firmar_mensaje-190;B;6,1,2;1
firmar_mensaje-191;B;6,1,2;1
consultar_validez_mensaje-10;D;2,2;2
consultar_validez_mensaje-11;D;2,2;2
consultar_validez_mensaje-12;D;2,2;2
consultar_validez_mensaje-13;D;2,2;2
consultar_validez_mensaje-14;D;2,2;2
consultar_validez_mensaje-15;D;2,2;2
consultar_validez_mensaje-16;D;2,2;2
consultar_validez_mensaje-17;D;2,2;2
consultar_validez_mensaje-18;D;2,2;2
consultar_validez_mensaje-19;D;2,2;2
consultar_validez_mensaje-20;D;2,2;2
consultar_validez_mensaje-21;D;2,2;2
consultar_validez_mensaje-22;D;2,2;2
consultar_validez_mensaje-23;D;2,2;2
consultar_validez_mensaje-24;D;2,2;2
consultar_validez_mensaje-25;D;2,2;2
consultar_validez_mensaje-26;D;2,2;2
consultar_validez_mensaje-27;D;2,2;2
consultar_validez_mensaje-28;D;2,2;2
consultar_validez_mensaje-29;D;2,2;2
