NOMBRE-PROCESO;TIPO;COMPORTAMIENTO;T_DE_LLEGADA
calc_premio-1;D;10,5,10,5;1
calc_premio-2;D;10,5,10,5;1
calc_premio-3;D;10,5,10,5;1
calc_premio-4;D;10,5,10,5;1
calc_premio-5;D;10,5,10,5;1
calc_premio-6;D;10,5,10,5;1
calc_premio-7;D;10,5,10,5;1
calc_premio-8;D;10,5,10,5;1
calc_premio-9;D;10,5,10,5;1
calc_premio-10;D;10,5,10,5;1
calc_premio-11;D;10,5,10,5;1
calc_premio-12;D;10,5,10,5;1
calc_premio-13;D;10,5,10,5;1
calc_premio-14;D;10,5,10,5;1
calc_premio-15;D;10,5,10,5;1
calc_premio-16;D;10,5,10,5;1
calc_premio-17;D;10,5,10,5;1
calc_premio-18;D;10,5,10,5;1
calc_premio-19;D;10,5,10,5;1
calc_premio-20;D;10,5,10,5;1
calc_premio-21;D;10,5,10,5;1
calc_premio-22;D;10,5,10,5;1
calc_premio-23;D;10,5,10,5;1
calc_premio-24;D;10,5,10,5;1
calc_premio-25;D;10,5,10,5;1
calc_premio-26;D;10,5,10,5;1
calc_premio-27;D;10,5,10,5;1
calc_premio-28;D;10,5,10,5;1
calc_premio-29;D;10,5,10,5;1
calc_premio-30;D;10,5,10,5;1
calc_premio-31;D;10,5,10,5;1
calc_premio-32;D;10,5,10,5;1
calc_premio-33;D;10,5,10,5;1
calc_premio-34;D;10,5,10,5;1
calc_premio-35;D;10,5,10,5;1
calc_premio-36;D;10,5,10,5;1
calc_premio-37;D;10,5,10,5;1
calc_premio-38;D;10,5,10,5;1
calc_premio-39;D;10,5,10,5;1
calc_premio-40;D;10,5,10,5;1
calc_premio-41;D;10,5,10,5;1
calc_premio-42;D;10,5,10,5;1
calc_premio-43;D;10,5,10,5;1
calc_premio-44;D;10,5,10,5;1
calc_premio-45;D;10,5,10,5;1
calc_premio-46;D;10,5,10,5;1
calc_premio-47;D;10,5,10,5;1
calc_premio-48;D;10,5,10,5;1
calc_premio-49;D;10,5,10,5;1
calc_premio-50;D;10,5,10,5;1
calc_premio-51;D;10,5,10,5;1
calc_premio-52;D;10,5,10,5;1
calc_premio-53;D;10,5,10,5;1
calc_premio-54;D;10,5,10,5;1
calc_premio-55;D;10,5,10,5;1
calc_premio-56;D;10,5,10,5;1
calc_premio-57;D;10,5,10,5;1
calc_puntaje_mensaje-1;A;3,6,3;2
calc_puntaje_mensaje-2;A;3,6,3;2
calc_puntaje_mensaje-3;A;3,6,3;2
calc_puntaje_mensaje-4;A;3,6,3;2
calc_puntaje_mensaje-5;A;3,6,3;2
calc_puntaje_mensaje-6;A;3,6,3;2
calc_puntaje_mensaje-7;A;3,6,3;2
calc_puntaje_mensaje-8;A;3,6,3;2
calc_puntaje_mensaje-9;A;3,6,3;2
calc_puntaje_mensaje-10;A;3,6,3;2
calc_puntaje_mensaje-11;A;3,6,3;2
calc_puntaje_mensaje-12;A;3,6,3;2
calc_puntaje_mensaje-13;A;3,6,3;2
calc_puntaje_mensaje-14;A;3,6,3;2
calc_puntaje_mensaje-15;A;3,6,3;2
calc_puntaje_mensaje-16;A;3,6,3;2
calc_puntaje_mensaje-17;A;3,6,3;2
calc_puntaje_mensaje-18;A;3,6,3;2
calc_puntaje_mensaje-19;A;3,6,3;2
calc_puntaje_mensaje-20;A;3,6,3;2
calc_puntaje_mensaje-21;A;3,6,3;2
calc_puntaje_mensaje-22;A;3,6,3;2
calc_puntaje_mensaje-23;A;3,6,3;2
calc_puntaje_mensaje-24;A;3,6,3;2
calc_puntaje_mensaje-25;A;3,6,3;2
calc_puntaje_mensaje-26;A;3,6,3;2
calc_puntaje_mensaje-27;A;3,6,3;2
calc_puntaje_mensaje-28;A;3,6,3;2
calc_puntaje_mensaje-29;A;3,6,3;2
calc_puntaje_mensaje-30;A;3,6,3;2
calc_puntaje_mensaje-31;A;3,6,3;2
calc_puntaje_mensaje-32;A;3,6,3;2
calc_puntaje_mensaje-33;A;3,6,3;2
calc_puntaje_mensaje-34;A;3,6,3;2
calc_puntaje_mensaje-35;A;3,6,3;2
calc_puntaje_mensaje-36;A;3,6,3;2
calc_puntaje_mensaje-37;A;3,6,3;2
calc_puntaje_mensaje-38;A;3,6,3;2
calc_puntaje_mensaje-39;A;3,6,3;2
calc_puntaje_mensaje-40;A;3,6,3;2
calc_puntaje_mensaje-41;A;3,6,3;2
calc_puntaje_mensaje-42;A;3,6,3;2
calc_puntaje_mensaje-43;A;3,6,3;2
calc_puntaje_mensaje-44;A;3,6,3;2
calc_puntaje_mensaje-45;A;3,6,3;2
calc_puntaje_mensaje-46;A;3,6,3;2
calc_puntaje_mensaje-47;A;3,6,3;2
calc_puntaje_mensaje-48;A;3,6,3;2
calc_puntaje_mensaje-49;A;3,6,3;2
calc_puntaje_mensaje-50;A;3,6,3;2
calc_puntaje_mensaje-51;A;3,6,3;2
calc_puntaje_mensaje-52;A;3,6,3;2
calc_puntaje_mensaje-53;A;3,6,3;2
calc_puntaje_mensaje-54;A;3,6,3;2
calc_puntaje_mensaje-55;A;3,6,3;2
calc_puntaje_mensaje-56;A;3,6,3;2
calc_puntaje_mensaje-57;A;3,6,3;2
calc_puntaje_mensaje-58;A;3,6,3;2
calc_puntaje_mensaje-59;A;3,6,3;2
calc_puntaje_mensaje-60;A;3,6,3;2
calc_puntaje_mensaje-61;A;3,6,3;2
calc_puntaje_mensaje-62;A;3,6,3;2
calc_puntaje_mensaje-63;A;3,6,3;2
calc_puntaje_mensaje-64;A;3,6,3;2
calc_puntaje_mensaje-65;A;3,6,3;2
calc_puntaje_mensaje-66;A;3,6,3;2
calc_puntaje_mensaje-67;A;3,6,3;2
calc_puntaje_mensaje-68;A;3,6,3;2
calc_puntaje_mensaje-69;A;3,6,3;2
calc_puntaje_mensaje-70;A;3,6,3;2
calc_puntaje_mensaje-71;A;3,6,3;2
calc_puntaje_mensaje-72;A;3,6,3;2
calc_puntaje_mensaje-73;A;3,6,3;2
calc_puntaje_mensaje-74;A;3,6,3;2
calc_puntaje_mensaje-75;A;3,6,3;2
calc_puntaje_mensaje-76;A;3,6,3;2
calc_puntaje_mensaje-77;A;3,6,3;2
calc_puntaje_mensaje-78;A;3,6,3;2
calc_puntaje_mensaje-79;A;3,6,3;2
calc_puntaje_mensaje-80;A;3,6,3;2
calc_puntaje_mensaje-81;A;3,6,3;2
calc_puntaje_mensaje-82;A;3,6,3;2
calc_puntaje_mensaje-83;A;3,6,3;2
calc_puntaje_mensaje-84;A;3,6,3;2
calc_puntaje_mensaje-85;A;3,6,3;2
calc_puntaje_mensaje-86;A;3,6,3;2
calc_puntaje_mensaje-87;A;3,6,3;2
calc_puntaje_mensaje-88;A;3,6,3;2
calc_puntaje_mensaje-89;A;3,6,3;2
calc_puntaje_mensaje-90;A;3,6,3;2
calc_puntaje_mensaje-91;A;3,6,3;2
calc_puntaje_mensaje-92;A;3,6,3;2
calc_puntaje_mensaje-93;A;3,6,3;2
calc_puntaje_mensaje-94;A;3,6,3;2
calc_puntaje_mensaje-95;A;3,6,3;2
calc_puntaje_mensaje-96;A;3,6,3;2
calc_puntaje_mensaje-97;A;3,6,3;2
calc_puntaje_mensaje-98;A;3,6,3;2
calc_puntaje_mensaje-99;A;3,6,3;2
calc_puntaje_mensaje-100;A;3,6,3;2
calc_puntaje_mensaje-101;A;3,6,3;2
calc_puntaje_mensaje-102;A;3,6,3;2
calc_puntaje_mensaje-103;A;3,6,3;2
calc_puntaje_mensaje-104;A;3,6,3;2
calc_puntaje_mensaje-105;A;3,6,3;2
calc_puntaje_mensaje-106;A;3,6,3;2
calc_puntaje_mensaje-107;A;3,6,3;2
calc_puntaje_mensaje-108;A;3,6,3;2
calc_puntaje_mensaje-109;A;3,6,3;2
calc_puntaje_mensaje-110;A;3,6,3;2
calc_puntaje_mensaje-111;A;3,6,3;2
calc_puntaje_mensaje-112;A;3,6,3;2
calc_puntaje_mensaje-113;A;3,6,3;2
calc_puntaje_mensaje-114;A;3,6,3;2
calc_puntaje_mensaje-115;A;3,6,3;2
calc_puntaje_mensaje-116;A;3,6,3;2
calc_puntaje_mensaje-117;A;3,6,3;2
calc_puntaje_mensaje-118;A;3,6,3;2
calc_puntaje_mensaje-119;A;3,6,3;2
calc_puntaje_mensaje-120;A;3,6,3;2
calc_puntaje_mensaje-121;A;3,6,3;2
calc_puntaje_mensaje-122;A;3,6,3;2
calc_premio-58;D;10,5,10,5;3
calc_premio-59;D;10,5,10,5;3
calc_premio-60;D;10,5,10,5;3
calc_premio-61;D;10,5,10,5;3
calc_premio-62;D;10,5,10,5;3
calc_premio-63;D;10,5,10,5;3
calc_premio-64;D;10,5,10,5;3
calc_premio-65;D;10,5,10,5;3
calc_premio-66;D;10,5,10,5;3
calc_premio-67;D;10,5,10,5;3
calc_premio-68;D;10,5,10,5;3
calc_premio-69;D;10,5,10,5;3
